Categoria_Analise,Segmento,Qtd_Seguros,Qtd_Acidentes,Razao_Seguro_Acidente
Geral,Total,70979,25926,0.36526296510235423
Demografia,M,35472,13617,0.38388024357239514
Demografia,F,35507,12309,0.3466640380769989
Geografia,Nordeste,23739,8601,0.36231517755592063
Geografia,Centro-Oeste,10321,3853,0.3733165390950489
Geografia,Norte,18313,6639,0.3625293507344509
Geografia,Sudeste,10524,3850,0.36583048270619534
Geografia,Sul,8082,2983,0.36909180895817867
Perfil Capital,Alto Capital (>Q3),18000,6529,0.3627222222222222
Perfil Capital,Baixo Capital (<Q1),17554,6432,0.366412213740458
Perfil Prêmio,Alto Prêmio (>Q3),18124,6584,0.363275215184286
Perfil Prêmio,Baixo Prêmio (<Q1),17381,6289,0.3618318853920948
