trimestre_unico,tipo_sinistro,count
2022-4,Auxílio Funeral,445
2022-4,Doença Grave,448
2022-4,Invalidez Permanente,557
2022-4,Morte Acidental,937
2023-1,Auxílio Funeral,656
2023-1,Doença Grave,696
2023-1,Invalidez Permanente,926
2023-1,Morte Acidental,1515
2023-2,Auxílio Funeral,710
2023-2,Doença Grave,683
2023-2,Invalidez Permanente,869
2023-2,Morte Acidental,1476
2023-3,Auxílio Funeral,727
2023-3,Doença Grave,692
2023-3,Invalidez Permanente,906
2023-3,Morte Acidental,1436
2023-4,Auxílio Funeral,689
2023-4,Doença Grave,682
2023-4,Invalidez Permanente,952
2023-4,Morte Acidental,1513
2024-1,Auxílio Funeral,632
2024-1,Doença Grave,673
2024-1,Invalidez Permanente,959
2024-1,Morte Acidental,1482
2024-2,Auxílio Funeral,636
2024-2,Doença Grave,691
2024-2,Invalidez Permanente,914
2024-2,Morte Acidental,1446
2024-3,Auxílio Funeral,690
2024-3,Doença Grave,676
2024-3,Invalidez Permanente,890
2024-3,Morte Acidental,1424
2024-4,Auxílio Funeral,713
2024-4,Doença Grave,695
2024-4,Invalidez Permanente,917
2024-4,Morte Acidental,1487
2025-1,Auxílio Funeral,715
2025-1,Doença Grave,684
2025-1,Invalidez Permanente,898
2025-1,Morte Acidental,1426
2025-2,Auxílio Funeral,704
2025-2,Doença Grave,616
2025-2,Invalidez Permanente,948
2025-2,Morte Acidental,1442
2025-3,Auxílio Funeral,643
2025-3,Doença Grave,648
2025-3,Invalidez Permanente,952
2025-3,Morte Acidental,1488
2025-4,Auxílio Funeral,238
2025-4,Doença Grave,263
2025-4,Invalidez Permanente,362
2025-4,Morte Acidental,586
